Timestamp [us],RTC Count,Notes,State To Process,Next State
1678380554404208,-1,,DEPLOY,DEPLOY
1678380555404274,-1,,DEPLOY,DEPLOY
1678380556404338,-1,,DEPLOY,DEPLOY
1678380557404419,-1,,DEPLOY,DEPLOY
1678380558404488,-1,,DEPLOY,DEPLOY
1678380559404554,-1,,DEPLOY,DEPLOY
1678380560404618,-1,,DEPLOY,DEPLOY
1678380561404684,-1,,DEPLOY,DEPLOY
1678380562404755,-1,,DEPLOY,DEPLOY
1678380563404820,-1,,DEPLOY,DEPLOY
1678380564404886,-1,,DEPLOY,DEPLOY
1678380565404952,-1,,DEPLOY,DEPLOY
1678380566405062,-1,,DEPLOY,DEPLOY
1678380567405142,-1,,DEPLOY,DEPLOY
1678380568405220,-1,,DEPLOY,DEPLOY
1678380569405287,-1,,DEPLOY,DEPLOY
1678380570405354,-1,,DEPLOY,DEPLOY
1678380571405420,-1,,DEPLOY,DEPLOY
1678380572405495,-1,,DEPLOY,DEPLOY
1678380573405570,-1,,DEPLOY,DEPLOY
1678380574405684,-1,,DEPLOY,DEPLOY
1678380575405762,-1,,DEPLOY,DEPLOY
1678380576405840,-1,,DEPLOY,DEPLOY
1678380577406013,-1,,DEPLOY,DEPLOY
1678380578406078,-1,,DEPLOY,DEPLOY
1678380579406144,-1,,DEPLOY,DEPLOY
1678380580406210,-1,,DEPLOY,DEPLOY
1678380581406276,-1,,DEPLOY,DEPLOY
1678380582406348,-1,,DEPLOY,DEPLOY
1678380666083418,-1,Restarted! | ,CONFIG,START
1678380667083482,-1,,START,DEPLOY
1678380668083547,-1,,DEPLOY,DEPLOY
1678380669083612,-1,,DEPLOY,DEPLOY
1678380670083678,-1,,DEPLOY,DEPLOY
1678380671083759,-1,,DEPLOY,DEPLOY
1678380672083826,-1,,DEPLOY,DEPLOY
1678380673088588,-1,,DEPLOY,DEPLOY
1678380674088653,-1,,DEPLOY,DEPLOY
1678380675088718,-1,,DEPLOY,DEPLOY
1678380676088798,-1,,DEPLOY,DEPLOY
1678380677088869,-1,,DEPLOY,DEPLOY
1678380678088935,-1,,DEPLOY,DEPLOY
1678380679089000,-1,,DEPLOY,DEPLOY
1678380680089066,-1,,DEPLOY,DEPLOY
1678380681089134,-1,,DEPLOY,DEPLOY
1678380682089200,-1,,DEPLOY,DEPLOY
1678380683089264,-1,,DEPLOY,DEPLOY
1678380684089329,-1,,DEPLOY,DEPLOY
1678380685089395,-1,,DEPLOY,DEPLOY
1678380686089466,-1,,DEPLOY,DEPLOY
1678380687089546,-1,,DEPLOY,DEPLOY
1678380688089595,-1,,DEPLOY,DEPLOY
1678380689089678,-1,,DEPLOY,DEPLOY
1678380690089762,-1,,DEPLOY,DEPLOY
1678380691089905,-1,,DEPLOY,DEPLOY
1678380692089972,-1,,DEPLOY,DEPLOY
1678380693090037,-1,,DEPLOY,DEPLOY
1678380694090103,-1,,DEPLOY,DEPLOY
1678380695090168,-1,,DEPLOY,DEPLOY
1678380696090242,-1,,DEPLOY,DEPLOY
1678380697090307,-1,,DEPLOY,DEPLOY
1678380698090373,-1,,DEPLOY,DEPLOY
1678380699090438,-1,,DEPLOY,DEPLOY
1678380700090502,-1,,DEPLOY,DEPLOY
1678380701090570,-1,,DEPLOY,DEPLOY
1678380702090652,-1,,DEPLOY,DEPLOY
